Latitude,Longitude,Average_dist_F,Average_popularity_F,Average_rating_F,Max_rating_F,Max_popularity_F,Min_rating_F,Min_popularity_F
53.347106,-6.292041,734.6,0.9705784887873161,8.97,9.3,0.9998857306099128,8.7,0.8900442793886587
53.352149,-6.260533,715.8,0.9731524067990287,9.139999999999999,9.4,0.9984573632338237,9.0,0.923782316811884
53.345203,-6.247163,715.9,0.99003285244965,9.11,9.4,0.999485787744608,9.0,0.9530352806741894
53.353331,-6.249319,611.6,0.9697386087701757,8.940000000000001,9.4,0.9971718325953435,8.7,0.8979860019997143
53.338776,-6.30395,567.6,0.9554149407227539,8.290000000000003,9.4,0.9933438080274246,7.7,0.876474789315812
53.359157,-6.281866,733.0,0.9638394515069276,8.27,8.7,0.9966576203399514,8.0,0.9318668761605485
53.349013,-6.260311,630.3,0.9809455792029711,9.19,9.4,0.9984573632338237,9.1,0.923782316811884
53.358437,-6.260641,716.3,0.9666561919725754,8.850000000000001,9.4,0.9970289958577346,8.7,0.8996143408084559
53.335211,-6.2509,841.7,0.9827653192401085,9.120000000000001,9.5,0.9998285959148693,8.9,0.8949007284673618
53.339629,-6.243778,640.3,0.9552663905156408,8.98,9.2,0.999485787744608,8.8,0.9083273818025996
53.341359,-6.292951,822.2,0.972258248821597,8.809999999999999,9.4,0.9998857306099128,8.5,0.9163548064562206
53.332763,-6.257942,796.5,0.9709727181831168,9.11,9.5,0.9998285959148693,9.0,0.8949007284673618
53.351182,-6.269859,715.1,0.9767090415654905,9.169999999999998,9.4,0.9959148693043851,9.1,0.923782316811884
53.3483,-6.266651,629.2,0.988030281388373,9.23,9.4,0.9992572489644337,9.1,0.9630052849592915
53.346057,-6.268001,534.5,0.988030281388373,9.23,9.4,0.9992572489644337,9.1,0.9630052849592915
53.354663,-6.278681,810.2,0.9673846593343807,8.99,9.3,0.9988858734466505,8.7,0.923782316811884
53.356299,-6.258586,654.0,0.9668675903442365,8.92,9.4,0.9970289958577346,8.7,0.9336951864019426
53.332383,-6.252717,728.5,0.9616226253392373,9.040000000000001,9.5,0.9998285959148693,8.9,0.8949007284673618
53.340714,-6.308191,422.1,0.9524582202542493,8.23,8.9,0.9933438080274246,7.7,0.876474789315812
53.347802,-6.292432,772.7,0.9705042136837594,8.98,9.3,0.9998857306099128,8.7,0.8900442793886587
53.34218,-6.254485,627.7,0.9882045422082559,9.219999999999999,9.5,0.9998285959148693,9.1,0.9530352806741894
53.3488,-6.281637,607.9,0.969598628767319,9.070000000000002,9.3,0.9998857306099128,8.9,0.923782316811884
53.340927,-6.262501,466.7,0.991681188401657,9.239999999999998,9.5,0.9998285959148693,9.1,0.9630052849592915
53.336597,-6.248109,782.5,0.9772003999428653,9.14,9.5,0.9998285959148693,9.0,0.9146407656049136
53.3537415547453,-6.26530144781526,646.9,0.96830167118983,9.09,9.4,0.9959148693043851,8.9,0.923782316811884
53.344603,-6.263371,433.1,0.9909327238965862,9.229999999999999,9.5,0.9998285959148693,9.1,0.9630052849592915
53.347692,-6.278214,567.5,0.9733752321096987,9.139999999999999,9.3,0.9992572489644337,9.0,0.923782316811884
53.342081,-6.275233,704.7,0.9784173689472933,9.169999999999998,9.3,0.9992572489644337,9.1,0.923782316811884
